entity,category,count,tf,idf,tfidf
2005,policy,1,0.0038,1.3863,0.005212
2008,policy,1,0.0038,1.3863,0.005212
2019-2030,policy,1,0.0038,1.3863,0.005212
2021,policy,2,0.0075,0.6931,0.005212
2021-2022,policy,1,0.0038,1.3863,0.005212
2035,policy,1,0.0038,1.3863,0.005212
2047,policy,1,0.0038,1.3863,0.005212
2070,policy,1,0.0038,1.3863,0.005212
278 million tonnes,policy,1,0.0038,1.3863,0.005212
31%,policy,1,0.0038,1.3863,0.005212
32%,policy,1,0.0038,1.3863,0.005212
36 billion,policy,1,0.0038,1.3863,0.005212
4.5 billion,policy,1,0.0038,1.3863,0.005212
42%,policy,1,0.0038,1.3863,0.005212
48%,policy,1,0.0038,1.3863,0.005212
50 billion,policy,1,0.0038,1.3863,0.005212
500 million,policy,1,0.0038,1.3863,0.005212
57%,policy,1,0.0038,1.3863,0.005212
58%,policy,1,0.0038,1.3863,0.005212
63%,policy,1,0.0038,1.3863,0.005212
65,policy,1,0.0038,1.3863,0.005212
7.1%,policy,1,0.0038,1.3863,0.005212
70%,policy,1,0.0038,1.3863,0.005212
735 million,policy,1,0.0038,1.3863,0.005212
94%,policy,1,0.0038,1.3863,0.005212
Ajay Banga,policy,1,0.0038,1.3863,0.005212
Amazon,policy,1,0.0038,1.3863,0.005212
Antonio Guterres,policy,1,0.0038,1.3863,0.005212
August 2023,policy,1,0.0038,1.3863,0.005212
Bangladesh,policy,2,0.0075,0.6931,0.005212
COP,policy,1,0.0038,1.3863,0.005212
COP27,policy,1,0.0038,1.3863,0.005212
California,policy,1,0.0038,1.3863,0.005212
Carbon Border Adjustment Mechanism,policy,1,0.0038,1.3863,0.005212
Change Xie Zhenhua,policy,1,0.0038,1.3863,0.005212
Emissions Gap Report,policy,1,0.0038,1.3863,0.005212
FAO,policy,2,0.0075,0.6931,0.005212
Fatih Birol,policy,1,0.0038,1.3863,0.005212
February 2025,policy,1,0.0038,1.3863,0.005212
G20,policy,1,0.0038,1.3863,0.005212
Green Climate Fund,policy,1,0.0038,1.3863,0.005212
Green Initiative,policy,1,0.0038,1.3863,0.005212
IBAMA,policy,1,0.0038,1.3863,0.005212
IEA,policy,1,0.0038,1.3863,0.005212
IMF,policy,1,0.0038,1.3863,0.005212
January 2019,policy,1,0.0038,1.3863,0.005212
January 2026,policy,1,0.0038,1.3863,0.005212
John Kerry,policy,1,0.0038,1.3863,0.005212
June 2024,policy,2,0.0075,0.6931,0.005212
Kush Himalayan,policy,1,0.0038,1.3863,0.005212
Lula da Silva,policy,1,0.0038,1.3863,0.005212
March 2023,policy,1,0.0038,1.3863,0.005212
Middle East Green Initiative,policy,1,0.0038,1.3863,0.005212
Ministry of Environment and Climate Change,policy,1,0.0038,1.3863,0.005212
Narendra Modi,policy,1,0.0038,1.3863,0.005212
National Climate Change Policy,policy,1,0.0038,1.3863,0.005212
Nationally Determined Contribution,policy,1,0.0038,1.3863,0.005212
Net Zero,policy,1,0.0038,1.3863,0.005212
New York,policy,1,0.0038,1.3863,0.005212
Norway,policy,1,0.0038,1.3863,0.005212
November 2021,policy,1,0.0038,1.3863,0.005212
November 2023,policy,1,0.0038,1.3863,0.005212
OECD,policy,1,0.0038,1.3863,0.005212
"Over 2,300",policy,1,0.0038,1.3863,0.005212
Over 200 million,policy,1,0.0038,1.3863,0.005212
Poland,policy,1,0.0038,1.3863,0.005212
Qu Dongyu,policy,1,0.0038,1.3863,0.005212
Russia,policy,1,0.0038,1.3863,0.005212
Saudi,policy,1,0.0038,1.3863,0.005212
Sharm el-Sheikh,policy,1,0.0038,1.3863,0.005212
Simon Stiell,policy,1,0.0038,1.3863,0.005212
Sixth Assessment Report,policy,1,0.0038,1.3863,0.005212
Songdo,policy,1,0.0038,1.3863,0.005212
South,policy,1,0.0038,1.3863,0.005212
South Korea,policy,1,0.0038,1.3863,0.005212
Southeast Asia,policy,1,0.0038,1.3863,0.005212
State of Food and Agriculture 2023,policy,1,0.0038,1.3863,0.005212
Sudair,policy,1,0.0038,1.3863,0.005212
Sunnylands,policy,1,0.0038,1.3863,0.005212
The Asian Development Bank,policy,1,0.0038,1.3863,0.005212
The Climate Justice Alliance,policy,1,0.0038,1.3863,0.005212
The European Investment Bank,policy,1,0.0038,1.3863,0.005212
The European Union's,policy,1,0.0038,1.3863,0.005212
The Global Adaptation Finance Tracker,policy,1,0.0038,1.3863,0.005212
The Global Landscape of Climate Finance,policy,1,0.0038,1.3863,0.005212
The Global Methane Pledge,policy,1,0.0038,1.3863,0.005212
The Global Stocktake at COP28,policy,1,0.0038,1.3863,0.005212
The International Energy Agency's,policy,1,0.0038,1.3863,0.005212
The International Maritime Organization,policy,1,0.0038,1.3863,0.005212
The Kigali Amendment,policy,1,0.0038,1.3863,0.005212
The Ministry of Environment,policy,1,0.0038,1.3863,0.005212
UNDP,policy,1,0.0038,1.3863,0.005212
UNFCCC,policy,1,0.0038,1.3863,0.005212
United Arab Emirates,policy,2,0.0075,0.6931,0.005212
United Kingdom,policy,1,0.0038,1.3863,0.005212
Vanuatu,policy,1,0.0038,1.3863,0.005212
Vision 2030,policy,1,0.0038,1.3863,0.005212
World Bank,policy,2,0.0075,0.6931,0.005212
approximately $100 billion,policy,1,0.0038,1.3863,0.005212
approximately 3%,policy,1,0.0038,1.3863,0.005212
approximately 70%,policy,1,0.0038,1.3863,0.005212
non-CO2,policy,1,0.0038,1.3863,0.005212
only 3.8%,policy,1,0.0038,1.3863,0.005212
only 6,policy,1,0.0038,1.3863,0.005212
only 6%,policy,1,0.0038,1.3863,0.005212
only 7%,policy,1,0.0038,1.3863,0.005212
"over 12,500",policy,1,0.0038,1.3863,0.005212
over 130,policy,1,0.0038,1.3863,0.005212
over 150,policy,1,0.0038,1.3863,0.005212
the African Group of Negotiators,policy,1,0.0038,1.3863,0.005212
the Amazon Fund,policy,1,0.0038,1.3863,0.005212
the Bonn Climate Change Conference,policy,1,0.0038,1.3863,0.005212
the Central Bank of Jordan,policy,1,0.0038,1.3863,0.005212
the Climate Ambition Summit,policy,1,0.0038,1.3863,0.005212
the Climate Policy Initiative,policy,1,0.0038,1.3863,0.005212
the Congo Basin,policy,1,0.0038,1.3863,0.005212
the International Court of Justice,policy,1,0.0038,1.3863,0.005212
the International Year of Glaciers,policy,1,0.0038,1.3863,0.005212
the Kigali Amendment,policy,1,0.0038,1.3863,0.005212
the North Sea,policy,1,0.0038,1.3863,0.005212
the Renewable Energy and Energy Efficiency Law,policy,1,0.0038,1.3863,0.005212
the United Nations,policy,1,0.0038,1.3863,0.005212
the United Nations General Assembly,policy,1,0.0038,1.3863,0.005212
the United States,policy,2,0.0075,0.6931,0.005212
the end of 2023,policy,1,0.0038,1.3863,0.005212
the estimated $400 billion,policy,1,0.0038,1.3863,0.005212
the first seven months,policy,1,0.0038,1.3863,0.005212
thousands,policy,1,0.0038,1.3863,0.005212
two weeks,policy,1,0.0038,1.3863,0.005212
2100,policy,3,0.0113,0.2877,0.003245
50%,policy,3,0.0113,0.2877,0.003245
0.5 degrees,policy,1,0.0038,0.6931,0.002606
100,policy,1,0.0038,0.6931,0.002606
2 billion,policy,1,0.0038,0.6931,0.002606
20%,policy,1,0.0038,0.6931,0.002606
2019,policy,1,0.0038,0.6931,0.002606
2020,policy,1,0.0038,0.6931,0.002606
2025,policy,1,0.0038,0.6931,0.002606
2040,policy,1,0.0038,0.6931,0.002606
30%,policy,1,0.0038,0.6931,0.002606
Asia,policy,1,0.0038,0.6931,0.002606
Brazil,policy,1,0.0038,0.6931,0.002606
Dubai,policy,1,0.0038,0.6931,0.002606
Hindu,policy,1,0.0038,0.6931,0.002606
IPCC,policy,1,0.0038,0.6931,0.002606
July 2023,policy,1,0.0038,0.6931,0.002606
Pacific Island,policy,1,0.0038,0.6931,0.002606
Pakistan,policy,1,0.0038,0.6931,0.002606
Saudi Arabia's,policy,1,0.0038,0.6931,0.002606
South Asia,policy,1,0.0038,0.6931,0.002606
Spain,policy,1,0.0038,0.6931,0.002606
Sub-Saharan Africa,policy,1,0.0038,0.6931,0.002606
United States,policy,1,0.0038,0.6931,0.002606
the Montreal Protocol,policy,1,0.0038,0.6931,0.002606
UNEP,policy,2,0.0075,0.2877,0.002163
45%,policy,1,0.0038,0.2877,0.001082
80%,policy,1,0.0038,0.2877,0.001082
Africa,policy,1,0.0038,0.2877,0.001082
Kenya,policy,1,0.0038,0.2877,0.001082
September 2023,policy,1,0.0038,0.2877,0.001082
2023,policy,4,0.015,0.0,0.0
2030,policy,14,0.0526,0.0,0.0
2050,policy,3,0.0113,0.0,0.0
India,policy,3,0.0113,0.0,0.0
Jordan,policy,4,0.015,0.0,0.0
March 2024,policy,1,0.0038,0.0,0.0
Arctic,science,3,0.0102,1.3863,0.014194
NASA,science,3,0.0102,1.3863,0.014194
Red Sea,science,3,0.0102,1.3863,0.014194
1900,science,2,0.0068,1.3863,0.009463
Antarctic,science,2,0.0068,1.3863,0.009463
Antarctic sea,science,2,0.0068,1.3863,0.009463
CO2,science,4,0.0137,0.6931,0.009463
February 2024,science,2,0.0068,1.3863,0.009463
GRACE-FO,science,2,0.0068,1.3863,0.009463
Science,science,2,0.0068,1.3863,0.009463
the Atlantic Meridional Overturning Circulation,science,2,0.0068,1.3863,0.009463
the Greenland Ice Sheet,science,2,0.0068,1.3863,0.009463
the Gulf of Aqaba,science,2,0.0068,1.3863,0.009463
the University of Jordan,science,2,0.0068,1.3863,0.009463
Middle East,science,5,0.0171,0.2877,0.004909
0.3 degrees,science,1,0.0034,1.3863,0.004731
0.5 degrees Celsius,science,1,0.0034,1.3863,0.004731
0.5%,science,1,0.0034,1.3863,0.004731
1 million,science,1,0.0034,1.3863,0.004731
"1,923",science,1,0.0034,1.3863,0.004731
1.0%,science,1,0.0034,1.3863,0.004731
1.1%,science,1,0.0034,1.3863,0.004731
1.48 degrees Celsius,science,1,0.0034,1.3863,0.004731
1.5 degree,science,1,0.0034,1.3863,0.004731
1.5 million square kilometers,science,1,0.0034,1.3863,0.004731
1.5%,science,1,0.0034,1.3863,0.004731
1.75 degrees,science,1,0.0034,1.3863,0.004731
1.9 billion,science,1,0.0034,1.3863,0.004731
10-20%,science,1,0.0034,1.3863,0.004731
"100 to 1,000",science,1,0.0034,1.3863,0.004731
11 meters,science,1,0.0034,1.3863,0.004731
12th,science,1,0.0034,1.3863,0.004731
14 consecutive days,science,1,0.0034,1.3863,0.004731
14.5%,science,1,0.0034,1.3863,0.004731
15.5 billion tonnes,science,1,0.0034,1.3863,0.004731
17 kilometers,science,1,0.0034,1.3863,0.004731
18%,science,1,0.0034,1.3863,0.004731
1800,science,1,0.0034,1.3863,0.004731
1850-1900,science,1,0.0034,1.3863,0.004731
1950,science,1,0.0034,1.3863,0.004731
1958,science,1,0.0034,1.3863,0.004731
1979,science,1,0.0034,1.3863,0.004731
1980,science,1,0.0034,1.3863,0.004731
1981-2010,science,1,0.0034,1.3863,0.004731
1982,science,1,0.0034,1.3863,0.004731
1993,science,1,0.0034,1.3863,0.004731
2 degrees,science,2,0.0068,0.6931,0.004731
2 kilometers,science,1,0.0034,1.3863,0.004731
2-3%,science,1,0.0034,1.3863,0.004731
2.6 million square kilometers,science,1,0.0034,1.3863,0.004731
2.8,science,1,0.0034,1.3863,0.004731
20 to 50,science,1,0.0034,1.3863,0.004731
2000-2009,science,1,0.0034,1.3863,0.004731
2006,science,1,0.0034,1.3863,0.004731
2010-2019,science,1,0.0034,1.3863,0.004731
2022,science,2,0.0068,0.6931,0.004731
2023 summer,science,1,0.0034,1.3863,0.004731
"217,175",science,1,0.0034,1.3863,0.004731
227 billion tonnes,science,1,0.0034,1.3863,0.004731
23,science,1,0.0034,1.3863,0.004731
26.0 million square kilometers,science,1,0.0034,1.3863,0.004731
298 billion tonnes,science,1,0.0034,1.3863,0.004731
3 kilometers,science,1,0.0034,1.3863,0.004731
3.5,science,1,0.0034,1.3863,0.004731
31 consecutive days,science,1,0.0034,1.3863,0.004731
31.5%,science,1,0.0034,1.3863,0.004731
34.2%,science,1,0.0034,1.3863,0.004731
36.8 billion tonnes,science,1,0.0034,1.3863,0.004731
4 million tonnes,science,1,0.0034,1.3863,0.004731
4-5 degrees,science,1,0.0034,1.3863,0.004731
4.5 millimeters,science,1,0.0034,1.3863,0.004731
400,science,1,0.0034,1.3863,0.004731
424.0,science,1,0.0034,1.3863,0.004731
43 degrees,science,1,0.0034,1.3863,0.004731
45 million tonnes,science,1,0.0034,1.3863,0.004731
65 centimeters,science,1,0.0034,1.3863,0.004731
7.4%,science,1,0.0034,1.3863,0.004731
7.8 cubic kilometers,science,1,0.0034,1.3863,0.004731
722,science,1,0.0034,1.3863,0.004731
75%,science,1,0.0034,1.3863,0.004731
75-90%,science,1,0.0034,1.3863,0.004731
8.1,science,1,0.0034,1.3863,0.004731
8.2,science,1,0.0034,1.3863,0.004731
85%,science,1,0.0034,1.3863,0.004731
90%,science,1,0.0034,1.3863,0.004731
AMOC,science,1,0.0034,1.3863,0.004731
Alaska,science,1,0.0034,1.3863,0.004731
Alps,science,1,0.0034,1.3863,0.004731
Annual Review of Marine Science,science,1,0.0034,1.3863,0.004731
Antarctic ice,science,1,0.0034,1.3863,0.004731
Antarctica,science,1,0.0034,1.3863,0.004731
Arabian,science,1,0.0034,1.3863,0.004731
Arctic sea,science,1,0.0034,1.3863,0.004731
Arizona,science,1,0.0034,1.3863,0.004731
Atmospheric CO2,science,1,0.0034,1.3863,0.004731
Boulder,science,1,0.0034,1.3863,0.004731
CCS,science,1,0.0034,1.3863,0.004731
CRISPR,science,1,0.0034,1.3863,0.004731
Carlo Buontempo,science,1,0.0034,1.3863,0.004731
Celeste Saulo,science,1,0.0034,1.3863,0.004731
Colorado,science,1,0.0034,1.3863,0.004731
Copernicus,science,1,0.0034,1.3863,0.004731
Copernicus Climate Change Service,science,1,0.0034,1.3863,0.004731
ESA,science,1,0.0034,1.3863,0.004731
ETH Zurich,science,1,0.0034,1.3863,0.004731
East Coast,science,1,0.0034,1.3863,0.004731
El Nino,science,2,0.0068,0.6931,0.004731
GRACE,science,1,0.0034,1.3863,0.004731
Geophysical Research Letters,science,1,0.0034,1.3863,0.004731
Global Methane Assessment,science,1,0.0034,1.3863,0.004731
Goddard Institute for Space Studies,science,1,0.0034,1.3863,0.004731
Gorgon,science,1,0.0034,1.3863,0.004731
Himalayan,science,1,0.0034,1.3863,0.004731
Indo-Pacific,science,1,0.0034,1.3863,0.004731
Iraq,science,1,0.0034,1.3863,0.004731
July 2023,science,2,0.0068,0.6931,0.004731
Marine,science,1,0.0034,1.3863,0.004731
May 2024,science,1,0.0034,1.3863,0.004731
NOAA,science,2,0.0068,0.6931,0.004731
Nature,science,1,0.0034,1.3863,0.004731
Nature Climate Change,science,1,0.0034,1.3863,0.004731
Nature Communications,science,1,0.0034,1.3863,0.004731
Nature Food,science,1,0.0034,1.3863,0.004731
Nature Geoscience,science,1,0.0034,1.3863,0.004731
Northern Europe,science,1,0.0034,1.3863,0.004731
Phoenix,science,1,0.0034,1.3863,0.004731
Qinghai,science,1,0.0034,1.3863,0.004731
Saharan,science,1,0.0034,1.3863,0.004731
Science Advances,science,1,0.0034,1.3863,0.004731
Sentinel,science,1,0.0034,1.3863,0.004731
September,science,1,0.0034,1.3863,0.004731
"September 21, 2023",science,1,0.0034,1.3863,0.004731
Siberia,science,1,0.0034,1.3863,0.004731
Southern Europe,science,2,0.0068,0.6931,0.004731
Swiss,science,1,0.0034,1.3863,0.004731
Tabuk,science,1,0.0034,1.3863,0.004731
The Aletsch Glacier,science,1,0.0034,1.3863,0.004731
The Blue Carbon Initiative,science,1,0.0034,1.3863,0.004731
The British Antarctic Survey,science,1,0.0034,1.3863,0.004731
The Dead Sea's,science,1,0.0034,1.3863,0.004731
The European Space Agency's,science,1,0.0034,1.3863,0.004731
The Gulf of Aqaba's,science,1,0.0034,1.3863,0.004731
The Intergovernmental Panel on Climate Change Special Report,science,1,0.0034,1.3863,0.004731
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services,science,1,0.0034,1.3863,0.004731
The United Nations Environment Programme,science,1,0.0034,1.3863,0.004731
The World Glacier Monitoring Service,science,1,0.0034,1.3863,0.004731
The World Meteorological Organization,science,1,0.0034,1.3863,0.004731
The World Weather Attribution,science,1,0.0034,1.3863,0.004731
WMO,science,1,0.0034,1.3863,0.004731
West Antarctic Ice Sheet,science,1,0.0034,1.3863,0.004731
Western Australia,science,1,0.0034,1.3863,0.004731
Working Group III,science,1,0.0034,1.3863,0.004731
a decade earlier,science,1,0.0034,1.3863,0.004731
"an estimated 1,800",science,1,0.0034,1.3863,0.004731
approximately 0.7 millimeters,science,1,0.0034,1.3863,0.004731
approximately 15%,science,1,0.0034,1.3863,0.004731
approximately 2.5 degrees,science,1,0.0034,1.3863,0.004731
approximately 2066,science,1,0.0034,1.3863,0.004731
approximately 270 billion tonnes,science,1,0.0034,1.3863,0.004731
approximately 34%,science,1,0.0034,1.3863,0.004731
approximately 40%,science,1,0.0034,1.3863,0.004731
approximately 400 hectares,science,1,0.0034,1.3863,0.004731
approximately 50%,science,1,0.0034,1.3863,0.004731
approximately 600 million tonnes,science,1,0.0034,1.3863,0.004731
between 2006 and 2022,science,1,0.0034,1.3863,0.004731
between 2012 and 2022,science,1,0.0034,1.3863,0.004731
between 2015 and 2023,science,1,0.0034,1.3863,0.004731
decades,science,1,0.0034,1.3863,0.004731
mid-2023,science,1,0.0034,1.3863,0.004731
mid-century,science,1,0.0034,1.3863,0.004731
more than 2.5,science,1,0.0034,1.3863,0.004731
over 1 meter,science,1,0.0034,1.3863,0.004731
"over 1,500",science,1,0.0034,1.3863,0.004731
"roughly 1,500 billion tonnes",science,1,0.0034,1.3863,0.004731
seven years,science,1,0.0034,1.3863,0.004731
sixth,science,1,0.0034,1.3863,0.004731
the Alfred Wegener Institute,science,1,0.0034,1.3863,0.004731
the Aqaba Marine Science Station,science,1,0.0034,1.3863,0.004731
the Dead Sea,science,1,0.0034,1.3863,0.004731
the Doomsday Glacier,science,1,0.0034,1.3863,0.004731
the Eastern Mediterranean,science,1,0.0034,1.3863,0.004731
the European Space Agency's,science,1,0.0034,1.3863,0.004731
the Global CCS Institute,science,1,0.0034,1.3863,0.004731
the Great Barrier Reef Foundation,science,1,0.0034,1.3863,0.004731
the Helmholtz Centre for Environmental Research,science,1,0.0034,1.3863,0.004731
the King Abdullah University of Science and Technology,science,1,0.0034,1.3863,0.004731
the Mauna Loa Observatory,science,1,0.0034,1.3863,0.004731
the Max Planck Institute for Meteorology,science,1,0.0034,1.3863,0.004731
the National Academy of Sciences,science,1,0.0034,1.3863,0.004731
the National Snow and Ice Data Center,science,1,0.0034,1.3863,0.004731
the North Atlantic,science,1,0.0034,1.3863,0.004731
the Potsdam Institute for Climate Impact Research,science,1,0.0034,1.3863,0.004731
the Southern Ocean,science,1,0.0034,1.3863,0.004731
the Tibetan Plateau,science,1,0.0034,1.3863,0.004731
the University of Leeds,science,1,0.0034,1.3863,0.004731
the West Antarctic Ice Sheet,science,1,0.0034,1.3863,0.004731
the early 2000s,science,1,0.0034,1.3863,0.004731
the hottest month,science,1,0.0034,1.3863,0.004731
the last 15 years,science,1,0.0034,1.3863,0.004731
the past two years,science,1,0.0034,1.3863,0.004731
the preceding 12 months,science,1,0.0034,1.3863,0.004731
the previous decade,science,1,0.0034,1.3863,0.004731
the previous year,science,1,0.0034,1.3863,0.004731
the warmest year,science,1,0.0034,1.3863,0.004731
three decades,science,1,0.0034,1.3863,0.004731
up to 10,science,1,0.0034,1.3863,0.004731
up to 70%,science,1,0.0034,1.3863,0.004731
winter,science,1,0.0034,1.3863,0.004731
zero,science,1,0.0034,1.3863,0.004731
Saudi Arabia,science,3,0.0102,0.2877,0.002946
September 2023,science,3,0.0102,0.2877,0.002946
0.5 degrees,science,1,0.0034,0.6931,0.002366
10%,science,1,0.0034,0.6931,0.002366
1960,science,1,0.0034,0.6931,0.002366
1970,science,1,0.0034,0.6931,0.002366
1990,science,1,0.0034,0.6931,0.002366
20%,science,1,0.0034,0.6931,0.002366
2010,science,1,0.0034,0.6931,0.002366
21%,science,1,0.0034,0.6931,0.002366
280,science,1,0.0034,0.6931,0.002366
30%,science,1,0.0034,0.6931,0.002366
40 years,science,1,0.0034,0.6931,0.002366
60%,science,1,0.0034,0.6931,0.002366
China,science,1,0.0034,0.6931,0.002366
Earth,science,1,0.0034,0.6931,0.002366
European Union,science,1,0.0034,0.6931,0.002366
Hawaii,science,1,0.0034,0.6931,0.002366
IPCC,science,1,0.0034,0.6931,0.002366
January 2024,science,1,0.0034,0.6931,0.002366
United States,science,1,0.0034,0.6931,0.002366
the Montreal Protocol,science,1,0.0034,0.6931,0.002366
the Northern Hemisphere,science,1,0.0034,0.6931,0.002366
2100,science,2,0.0068,0.2877,0.001964
North Africa,science,2,0.0068,0.2877,0.001964
2024,science,1,0.0034,0.2877,0.000982
40%,science,1,0.0034,0.2877,0.000982
45%,science,1,0.0034,0.2877,0.000982
80%,science,1,0.0034,0.2877,0.000982
Mediterranean,science,1,0.0034,0.2877,0.000982
UNEP,science,1,0.0034,0.2877,0.000982
the Jordan Valley,science,1,0.0034,0.2877,0.000982
2023,science,6,0.0205,0.0,0.0
2030,science,2,0.0068,0.0,0.0
2050,science,2,0.0068,0.0,0.0
India,science,1,0.0034,0.0,0.0
Jordan,science,4,0.0137,0.0,0.0
March 2024,science,2,0.0068,0.0,0.0
